fc_company_name,fc_logo_url,fc_website,fc_approx_employees,fc_founded,fc_overview,fc_address_line1,fc_address_line2,fc_address_locality,fc_address_region_name,fc_address_postal_code,fc_address_country_name,fc_company_description,final_grade,unnatural_link,spam_score,trust_metrics,link_popularity,rank,industry_ranking,inc_ranking,Industry,revenue
Ultra Mobile,https://d2ojpxxtu63wzl.cloudfront.net/static/24e3f7cb4a64c2ed12ca1cc669db32eb_35b0158dbd1b99b9bcf2d56007a391cab7110adc09ae130e31decf554dc2e10f,http://ultra.me,150,2011,"CNET, Gadgets, Immigration, Mobile Commerce, Small and Medium Businesses, Software, Spanish, Wireless",,,,,,,"Ultra is a company dedicated to creating innovative, authentic mobile communication experiences for people around the globe.  We offer communication plans that break down barriers and allow our customers to easily and affordably connect with their communities – no matter where they may be.",B,D,C,C,D,57,1,1,Telecommunications,118.2
Systems America,https://d2ojpxxtu63wzl.cloudfront.net/static/efac059ae1efabf850efbb07f3891793_c143201a35d6cc974c30edf0c7031e9e4467df7eecd85275e379a5682e5d9215,http://systemsamerica.com,501-1000 employees,1994,"Employment Agency, Workforce Management",,,,,,,SystemsAmerica is more than an IT Services and Solutions provider to our clients. We have earned the distinction of a trusted partner by leveraging our decades of business and technical expertise. We provide the best solution to fit our clients needs and requirements whether it is contingent workers to enterprise solutions.,F,F,B,D,D,327,16,2,IT Services,0
Optima Tax Relief,https://d2ojpxxtu63wzl.cloudfront.net/static/8d44255968cd6e630ba706857639be42_7f943b1a115504c12c3101e22b9a825097be6880d8d080f4224cd9212009614d,http://optimataxrelief.com,500,2011,"Income Taxes, Internal Revenue Service",,,,,,,The Optima Tax Relief team has had one vision since inception – to help Americans nationwide deal with the aggressive collection policies of the State/IRS tax agencies.,B,C,C,D,F,38,3,3,Financial Services,33.6
"Castle Medical, LLC",https://www.castlemedical.com/images/cm_logo_5_bw.png,"http://castlemedical.com",500,1893,"emergency services, outpatient and home care, wellness and lifestyle medicine, chemotherapy clinic, Surgical Weight Loss Institute, Hawaii Muscular Dystrophy Clinic",,,,,,,"Castle Medical Center is a 160-bed medical center located in Windward Oahu. It provides a full range of services, including: acute care, 24-hour emergency services, outpatient and home care, wellness and lifestyle medicine, chemotherapy clinic, Surgical Weight Loss Institute, Hawaii Muscular Dystrophy Clinic, Joint Care Center, birth center and interventional cardiology.",D,A,F,D,F,263,33,4,Health,83.6
Quick Bridge Funding,https://d2ojpxxtu63wzl.cloudfront.net/static/86b4e9533d1ae391c5786ad8f6d738da_62b16070c6a34f9c247ec623f0fc0335386a666895b443f9cb0e93fc55bbf35c,"http://quickbridgefunding.com",150,2011,"Algorithms, Business, Hamlet, Technology, Twitter",,,,,,,"Quick Bridge Funding is a partner you can trust to build your business. We are small, flexible, and privately-owned, giving us the ability to provide capital to companies in unique situations.With over 15 years of experience in commercial lending, Quick Bridge knows how to get you exactly the amount of funding you need quickly, maximizing your businesses growth.",D,A,C,D,F,243,15,5,Financial Services,44.6
Drawbridge Inc.,https://d2ojpxxtu63wzl.cloudfront.net/static/1156cd02c35a2e7159acc40e3d0c906c_5e0de02c63c192edd523a69723b5cfd1e39db1cd0542bed49303a6fd2ab8d84f,http://drawbrid.ge,100,2010,"Adtech, Advertising Platforms, Digital Marketing, Innovation, Marketing, Mobile, Mobile Advertising, Online Advertising, Startups",,,,,,,Drawbridge is the leading anonymized cross-device identity company building technology that fundamentally changes the way brands connect with people.,C,A,F,C,C,165,24,6,Advertising & Marketing,32.9
StartApp,https://d2ojpxxtu63wzl.cloudfront.net/static/8ef19c98ef23549efedd020c3b73cd11_770daac876b1882c4fb20627c499f3854e4263ebb79a641f97e60a6e189b6993,http://startapp.com,150,2010,"Management, Mobile Applications, Video Games, Web Development, iOS",,,,,,,StartApp was founded in 2010 with the goal of consistently developing and providing the most innovative and effective mobile solutions for our partners.,C,F,A,C,D,189,28,7,Software,37.1
Restore Health,http://www.pharmacysolutionsonline.com/img/logo.jpg,http://restorehc.com,500,1982,"Bio Identcal Hormones, Bio Identical, Bio-identical, Bio-identical Hormones, Bioidentical, Bioidentical Hormones, Compound Pharmacist, Compounded, Compounding, Compounding Pharmacy, Health, Hormone Doctor, Hormones, Pharmacy, Restore, Restore Health",,,,,,,"Pharmacy Solutions is a reputable PCAB-Accredited® Compounding Pharmacy that complies with all USP standards, and is committed to the highest quality of care. We have been open since 2001 and are here to stay.",C,F,D,D,D,158,20,8,Health,30.4
Scopely,https://d2ojpxxtu63wzl.cloudfront.net/static/6d5d759a2b59153deea800e25b32ad7b_45bae8f73e2f061a11d0332cfbc6bb29e96995eb87f598d322a87aec3eb1bf45,http://scopely.com,100,2011,"Branding, Publishing, Social Commerce, Social Games, Social Media",,,,,,,Scopely's entrepreneurial culture believes that we are only as great as the people who choose to work with us. ,A,F,A,B,A,18,5,9,Advertising & Marketing,32
Company.com,https://d2ojpxxtu63wzl.cloudfront.net/static/6fc9cae7d92f79c014f0fdde41d188f8_fa6efd768f06331c96e15c5313cd5de847a5fb339ce5deee26316766f34c487f,http://company.com,150,2009,"Business, Company.com, Company.directory, Company.social, Directory, Finance, Hr, Leadership, Management, Marketplace, Payroll, Personal Finance, Social",,,,,,,"Passionate, Focused and Determined to bring the best tools to the small business market. Learn More About what drives us.",B,A,C,B,B,106,6,10,Business Products & Services,31
Jane,https://d2ojpxxtu63wzl.cloudfront.net/static/f4cf49bdfa6066306c93ccf0dbd715cd_abc48a5ea3e32cb8a43272486ffa19171afd0703856845ce45e3f8f75ec193ed,http://jane.com,51-200 employees,2011,Retail,,,,,,,"Handmade and Boutique deals at up to 80% off delivered right to your inbox every day!  At Jane.com you will see decor, accessories, baby bloomers, decals, crafts and many other cute and unique items.  Expect something totally new and different each day!",A,A,A,A,C,5,1,11,Retail,56.9
